CURSAT ver 2.1 Edition #1   Date:         03-05-2020      Hour:       14:58:39
Input file:   incidence.txt
Accumulation pseudoreplicates' file:      accum_incidence_boot.txt
Dataset pseudoreplicates' file:           pseud_incidence_boot.txt
Number of columns (sampling events):       10 
Number of rows (species, OTUs, ojects,...):              12 
Number of repetitions:       100 
Seed number:  12348695

Bootstrap (resampling with replacement)

Bootstrap replicate	Sampling event	Accumulation per n. of events	
 30 	 4 	 12 	
 30 	 5 	 12 	
 30 	 6 	 12 	
 30 	 7 	 12 	
 30 	 8 	 12 	
 30 	 9 	 12 	
 30 	 10 	 12 	
 31 	 1 	 6 	
 31 	 2 	 9 	
 31 	 3 	 11 	
 31 	 4 	 11 	
 31 	 5 	 11 	
 31 	 6 	 11 	
 31 	 7 	 11 	
 31 	 8 	 11 	
 31 	 9 	 11 	
 31 	 10 	 11 	
 32 	 1 	 4 	
 32 	 2 	 7 	
 32 	 3 	 7 	
 32 	 4 	 7 	
 32 	 5 	 8 	
 32 	 6 	 9 	
 32 	 7 	 12 	
 32 	 8 	 12 	
 32 	 9 	 12 	
 32 	 10 	 12 	
 33 	 1 	 6 	
 33 	 2 	 9 	
 33 	 3 	 10 	
 33 	 4 	 11 	
 33 	 5 	 12 	
 33 	 6 	 12 	
 33 	 7 	 12 	
 33 	 8 	 12 	
 33 	 9 	 12 	
 33 	 10 	 12 	
 34 	 1 	 6 	
 34 	 2 	 7 	
 34 	 3 	 11 	
 34 	 4 	 11 	
 34 	 5 	 12 	
 34 	 6 	 12 	
 34 	 7 	 12 	
 34 	 8 	 12 	
 34 	 9 	 12 	
 34 	 10 	 12 	
 35 	 1 	 4 	
 35 	 2 	 10 	
 35 	 3 	 12 	
 35 	 4 	 12 	
 35 	 5 	 12 	
 35 	 6 	 12 	
 35 	 7 	 12 	
 35 	 8 	 12 	
 35 	 9 	 12 	
 35 	 10 	 12 	
 36 	 1 	 4 	
 36 	 2 	 7 	
 36 	 3 	 7 	
 36 	 4 	 9 	
 36 	 5 	 12 	
 36 	 6 	 12 	
 36 	 7 	 12 	
 36 	 8 	 12 	
 36 	 9 	 12 	
 36 	 10 	 12 	
 37 	 1 	 6 	
 37 	 2 	 10 	
 37 	 3 	 10 	
 37 	 4 	 10 	
